
Steady-state run  :  SOLVIT

      LOOPCT    ;   RELXCC   ;         NRLXCC        ;   ENBALA   ;   ENBALR   ;   DAMPT  ;  VTPSEQ
           9    ; -2.867e-005 ;      100 (        WS) ; -3.329e-004 ; -2.451e-007 ;   1.1069 ;    1


Transient run  :  Crank-Nicholson

   ;                                  Time Variables                ;;;;               Implicit Convergence                   ;;;;               Time Discretisation Error                          ;;;
                                 % TIME    ;  TIMEN    ;    DTIMEU   ; LOOPCT ;   RELXCC   ;        NRLXCC         ;   ENBALT   ;    ERRT     ;        NERRMAX        ;   DT OPT  ;
 1 ------------------------->    8.72655 % ;  2642.400 ;   10.00000  ;      5 ; -1.953e-005 ;      100 (        WS) ; 1.084e-004 ;  7.291e-007 ;     1100 (        WS) ;   464.137 
 1 ------------------------->    9.03303 % ;  2735.200 ;   10.00000  ;      5 ; -2.120e-005 ;      100 (        WS) ; 1.162e-004 ;  6.510e-007 ;     1100 (        WS) ;   482.004 
 1 ------------------------->    9.36328 % ;  2835.200 ;   10.00000  ;      4 ; -6.517e-005 ;      100 (        WS) ; 3.720e-004 ;  5.366e-007 ;     1100 (        WS) ;   514.063 
 1 ------------------------->    9.69353 % ;  2935.200 ;   10.00000  ;      3 ; -2.933e-005 ;      100 (        WS) ; 1.990e-004 ;  2.163e-007 ;     1000 (        WS) ;   695.930 
 1 ------------------------->   10.00000 % ;  3028.000 ;    6.40000  ;      3 ; -6.335e-006 ;      100 (        WS) ; 4.780e-005 ;  3.018e-008 ;     1000 (        WS) ;   858.699 
 1 ------------------------->   10.33025 % ;  3128.000 ;   10.00000  ;      5 ; -9.499e-005 ;      100 (        WS) ; 7.150e-004 ;  6.127e-006 ;     1100 (        WS) ;   228.297 
 1 ------------------------->   10.66050 % ;  3228.000 ;   10.00000  ;      3 ; -7.486e-006 ;      300 (        WS) ; 6.161e-005 ;  3.167e-007 ;     1100 (        WS) ;   612.871 
 1 ------------------------->   10.97886 % ;  3324.400 ;    6.40000  ;      3 ; -6.598e-006 ;      300 (        WS) ; 5.400e-005 ;  1.329e-007 ;     1100 (        WS) ;   523.923 
 1 ------------------------->   11.29723 % ;  3420.800 ;   10.00000  ;      3 ; -2.052e-005 ;      300 (        WS) ; 1.674e-004 ;  4.985e-007 ;     1100 (        WS) ;   526.836 
 1 ------------------------->   11.62748 % ;  3520.800 ;   10.00000  ;      3 ; -3.219e-005 ;      300 (        WS) ; 2.694e-004 ;  5.817e-007 ;     1100 (        WS) ;   500.436 
 1 ------------------------->   11.95773 % ;  3620.800 ;   10.00000  ;      5 ; -6.956e-005 ;      100 (        WS) ; 6.900e-004 ;  5.701e-006 ;     1100 (        WS) ;   233.840 
 1 ------------------------->   12.26420 % ;  3713.600 ;   10.00000  ;      6 ; -1.842e-005 ;      100 (        WS) ; 1.876e-004 ;  9.135e-006 ;     1100 (        WS) ;   199.834 
 1 ------------------------->   12.59445 % ;  3813.600 ;   10.00000  ;      4 ; -2.879e-005 ;      200 (        WS) ; 2.972e-004 ;  8.708e-007 ;     1100 (        WS) ;   437.448 
 1 ------------------------->   12.92470 % ;  3913.600 ;   10.00000  ;      4 ; -3.985e-005 ;      200 (        WS) ; 3.783e-004 ;  8.760e-007 ;     1100 (        WS) ;   436.586 
 1 ------------------------->   13.23118 % ;  4006.400 ;   10.00000  ;      4 ; -5.445e-005 ;      200 (        WS) ; 4.703e-004 ;  9.240e-007 ;     1100 (        WS) ;   428.892 
 1 ------------------------->   13.56143 % ;  4106.400 ;   10.00000  ;      4 ; -7.494e-005 ;      200 (        WS) ; 5.718e-004 ;  8.993e-007 ;     1100 (        WS) ;   432.787 
 1 ------------------------->   13.89168 % ;  4206.400 ;   10.00000  ;      4 ; -6.341e-005 ;      200 (        WS) ; 4.121e-004 ;  1.043e-006 ;     1000 (        WS) ;   411.928 
 1 ------------------------->   14.19815 % ;  4299.200 ;   10.00000  ;      7 ; 3.714e-005 ;      200 (        WS) ; 2.274e-004 ;  5.587e-005 ;     1000 (        WS) ;   109.277 
 1 ------------------------->   14.52840 % ;  4399.200 ;   10.00000  ;      5 ; -9.262e-005 ;      200 (        WS) ; 4.580e-004 ;  5.473e-007 ;     1100 (        WS) ;   510.686 
 1 ------------------------->   14.85865 % ;  4499.200 ;   10.00000  ;      5 ; -7.020e-005 ;      200 (        WS) ; 3.597e-004 ;  5.887e-007 ;     1100 (        WS) ;   498.442 
 1 ------------------------->   15.16513 % ;  4592.000 ;   10.00000  ;      5 ; -5.326e-005 ;      200 (        WS) ; 2.811e-004 ;  5.471e-007 ;     1100 (        WS) ;   510.763 
 1 ------------------------->   15.49538 % ;  4692.000 ;   10.00000  ;      5 ; -3.957e-005 ;      200 (        WS) ; 2.146e-004 ;  4.682e-007 ;     1100 (        WS) ;   537.976 
 1 ------------------------->   15.82563 % ;  4792.000 ;   10.00000  ;      5 ; -3.051e-005 ;      200 (        WS) ; 1.691e-004 ;  3.761e-007 ;     1100 (        WS) ;   578.716 
 1 ------------------------->   16.13210 % ;  4884.800 ;   10.00000  ;      8 ; 2.912e-005 ;      200 (        WS) ; 3.016e-004 ;  2.221e-003 ;     1100 (        WS) ;    32.017 
 1 ------------------------->   16.46235 % ;  4984.800 ;   10.00000  ;      2 ; 8.647e-005 ;      200 (        WS) ; 1.454e-004 ;  1.808e-006 ;     1100 (        WS) ;   342.894 
 1 ------------------------->   16.79260 % ;  5084.800 ;   10.00000  ;      2 ; 7.836e-005 ;      200 (        WS) ; 1.315e-004 ;  1.615e-006 ;     1100 (        WS) ;   356.038 
 1 ------------------------->   17.09908 % ;  5177.600 ;   10.00000  ;      2 ; 7.150e-005 ;      200 (        WS) ; 1.197e-004 ;  1.460e-006 ;     1100 (        WS) ;   368.267 
 1 ------------------------->   17.42933 % ;  5277.600 ;   10.00000  ;      2 ; 6.528e-005 ;      200 (        WS) ; 1.091e-004 ;  1.312e-006 ;     1100 (        WS) ;   381.602 
 1 ------------------------->   17.75958 % ;  5377.600 ;   10.00000  ;      2 ; 5.958e-005 ;      200 (        WS) ; 9.939e-005 ;  1.183e-006 ;     1100 (        WS) ;   394.981 
 1 ------------------------->   18.06605 % ;  5470.400 ;   10.00000  ;      2 ; 4.963e-005 ;      200 (        WS) ; 8.267e-005 ;  1.089e-006 ;     1100 (        WS) ;   406.090 
 1 ------------------------->   18.39630 % ;  5570.400 ;   10.00000  ;      2 ; 5.026e-005 ;      200 (        WS) ; 8.357e-005 ;  9.768e-007 ;     1100 (        WS) ;   421.021 
 1 ------------------------->   18.72655 % ;  5670.400 ;   10.00000  ;      2 ; 4.614e-005 ;      200 (        WS) ; 7.661e-005 ;  8.877e-007 ;     1100 (        WS) ;   434.660 
 1 ------------------------->   19.03303 % ;  5763.200 ;   10.00000  ;      2 ; 4.035e-005 ;      200 (        WS) ; 6.691e-005 ;  6.592e-007 ;     1100 (        WS) ;   479.999 
 1 ------------------------->   19.36328 % ;  5863.200 ;   10.00000  ;      2 ; 3.931e-005 ;      200 (        WS) ; 6.511e-005 ;  7.430e-007 ;     1100 (        WS) ;   461.231 
 1 ------------------------->   19.69353 % ;  5963.200 ;   10.00000  ;      2 ; 4.996e-005 ;      200 (        WS) ; 8.466e-005 ;  6.457e-007 ;     1100 (        WS) ;   483.311 
 1 ------------------------->   20.00000 % ;  6056.000 ;    6.40000  ;      1 ; 4.223e-005 ;      300 (        WS) ; 1.127e-004 ;  1.596e-007 ;     1100 (        WS) ;   492.844 
 1 ------------------------->   20.33025 % ;  6156.000 ;   10.00000  ;      1 ; 9.215e-005 ;      300 (        WS) ; 2.454e-004 ;  5.673e-007 ;     1100 (        WS) ;   504.629 
 1 ------------------------->   20.66050 % ;  6256.000 ;   10.00000  ;      1 ; 8.870e-005 ;      300 (        WS) ; 2.358e-004 ;  5.293e-007 ;     1100 (        WS) ;   516.432 
 1 ------------------------->   20.97886 % ;  6352.400 ;    6.40000  ;      1 ; 5.057e-005 ;      300 (        WS) ; 1.342e-004 ;  1.593e-007 ;     1100 (        WS) ;   493.234 
 1 ------------------------->   21.29723 % ;  6448.800 ;   10.00000  ;      1 ; 7.729e-005 ;      300 (        WS) ; 2.047e-004 ;  4.517e-007 ;     1100 (        WS) ;   544.450 
 1 ------------------------->   21.62748 % ;  6548.800 ;   10.00000  ;      1 ; 7.161e-005 ;      300 (        WS) ; 1.893e-004 ;  4.172e-007 ;     1100 (        WS) ;   559.064 
 1 ------------------------->   21.95773 % ;  6648.800 ;   10.00000  ;      1 ; 6.648e-005 ;      300 (        WS) ; 1.755e-004 ;  3.858e-007 ;     1100 (        WS) ;   573.833 
